,id,code,buy_date,hold_days
0,a0,A049480,20190509,23
1,a0,A051915,20200810,55
2,a0,A056700,20190619,66
3,a1,A217730,20200701,7
4,a1,A222800,20200821,9
5,a1,A222980,20201217,7
6,a1,A226320,20200826,11
7,a1,A226330,20200907,4
8,a1,A226330,20200915,5
9,a1,A226330,20201006,2
10,a1,A227950,20201118,11
11,a1,A227950,20201207,7
12,a1,A229640,20200907,5
13,a1,A234690,20200908,9
14,a1,A238490,20200624,3
15,a1,A241820,20201103,3
16,a1,A241840,20201209,4
17,a1,A241840,20201216,6
18,a1,A253840,20200921,1
19,a1,A253840,20201229,1
20,a1,A267260,20200730,3
21,a1,A267320,20201007,34
22,a1,A269620,20200828,4
23,a1,A269620,20200908,7
24,a1,A269620,20201028,22
25,a1,A288330,20201015,16
26,a1,A294090,20201109,11
27,a1,A298380,20200713,17
28,a1,A298380,20200807,22
29,a1,A318000,20200811,12
30,a1,A322510,20200914,1
31,a1,A322510,20200916,15
32,a1,A336260,20200615,3
33,a1,A336260,20201006,3
34,a1,A336260,20201120,2
35,a1,A336260,20201204,3
36,a1,A33626K,20200915,8
37,a1,A352940,20201217,1
38,a1,A353810,20201120,1
39,a1,A200230,20200917,1
40,a1,A195990,20200716,16
41,a1,A067630,20200814,3
42,a1,A067310,20200916,45
43,a1,A093240,20200721,4
44,a1,A097780,20200901,1
45,a1,A102460,20201127,5
46,a1,A104480,20201217,5
47,a1,A110020,20200807,6
48,a1,A118000,20200805,1
49,a1,A118000,20200825,6
50,a1,A125210,20200529,16
51,a1,A127120,20200825,7
52,a1,A127120,20200909,5
53,a1,A131370,20200710,10
54,a1,A131370,20200828,56
55,a1,A142280,20200902,4
56,a1,A156100,20201014,10
57,a1,A170030,20201008,1
58,a1,A192650,20201123,14
59,a1,A011930,20201015,4
60,a1,A011080,20200721,2
61,a1,A011000,20201221,3
62,a1,A011000,20200929,7
63,a1,A011000,20200827,2
64,a1,A011000,20200618,8
65,a1,A011000,20200608,3
66,a1,A010690,20200721,2
67,a1,A010140,20200623,8
68,a1,A013870,20200813,1
69,a1,A015540,20200821,11
70,a1,A017180,20200518,6
71,a1,A017180,20200529,31
72,a1,A018000,20200820,2
73,a1,A018000,20200908,8
74,a1,A018680,20200723,2
75,a1,A018700,20200826,7
76,a1,A019170,20200728,6
77,a1,A025320,20200730,15
78,a1,A025980,20200706,15
79,a1,A025980,20200812,3
80,a1,A027360,20201222,1
81,a1,A033180,20200807,4
82,a1,A033270,20201015,25
83,a1,A034020,20200730,10
84,a1,A034020,20200924,1
85,a1,A036090,20201218,5
86,a1,A038460,20201029,6
87,a1,A038870,20200514,1
88,a1,A038870,20200911,2
89,a1,A040350,20200917,2
90,a1,A042040,20200918,1
91,a1,A007860,20200707,13
92,a1,A007860,20200818,5
93,a1,A007390,20200623,4
94,a1,A007390,20200511,28
95,a1,A006125,20200803,5
96,a1,A006125,20200707,10
97,a1,A005690,20201120,10
98,a1,A004720,20200821,24
99,a1,A042040,20200922,2
100,a1,A042040,20200925,56
101,a1,A042520,20201105,24
102,a1,A044480,20200612,20
103,a1,A045660,20200717,6
104,a1,A045660,20201119,6
105,a1,A047400,20200727,21
106,a1,A047820,20200909,54
107,a1,A047920,20200902,25
108,a1,A047920,20201023,1
109,a1,A047920,20201030,5
110,a1,A047920,20201216,1
111,a1,A050090,20201217,5
112,a1,A050890,20200313,48
113,a1,A050890,20200630,1
114,a1,A050890,20200716,60
115,a1,A051980,20201015,2
116,a1,A051980,20201218,2
117,a1,A052260,20200709,1
118,a1,A052260,20200724,2
119,a1,A054180,20200923,7
120,a1,A054410,20200814,1
121,a1,A054940,20200824,9
122,a1,A057880,20200901,1
123,a1,A057880,20200910,11
124,a1,A057880,20201118,2
125,a1,A059090,20200717,29
126,a1,A059090,20201030,9
127,a1,A061970,20200608,1
128,a1,A064550,20200813,2
129,a1,A065350,20201013,6
130,a1,A065450,20200810,2
131,a1,A012790,20200622,2
132,a1,A012790,20200629,11
133,a1,A012790,20200728,13
134,a1,A217730,20201008,4
135,a1,A000880,20200910,8
136,a1,A001060,20200709,7
137,a1,A001060,20200724,4
138,a1,A001780,20200814,21
139,a1,A002720,20200727,6
140,a1,A002800,20200727,11
141,a1,A067630,20200904,9
142,a1,A067630,20200918,1
143,a1,A067630,20200922,49
144,a1,A068330,20200825,10
145,a1,A068330,20200911,2
146,a1,A069080,20200513,15
147,a1,A069080,20200629,2
148,a1,A069080,20200709,17
149,a1,A002800,20200902,8
150,a1,A003000,20200622,13
151,a1,A003070,20200831,13
152,a1,A010140,20200603,10
153,a1,A009835,20200803,3
154,a1,A009835,20200714,3
155,a1,A009830,20201204,6
156,a1,A080720,20200921,4
157,a1,A080720,20201028,11
158,a1,A080720,20201218,2
159,a1,A084990,20201215,3
160,a1,A086040,20200804,6
161,a1,A087010,20201016,3
162,a1,A087010,20201112,2
163,a1,A009830,20200917,1
164,a1,A009460,20201130,5
165,a1,A009410,20200924,1
166,a1,A003850,20201204,2
167,a1,A004150,20200812,1
168,a1,A004540,20200413,33
169,a1,A004540,20200827,4
170,a1,A004545,20200812,3
171,a1,A004545,20200825,1
172,a1,A004720,20200805,7
173,a1,A067290,20200729,13
174,a1,A066700,20200915,1
175,a1,A066700,20200630,3
176,a1,A200230,20200925,58
177,a1,A205470,20200803,15
178,a1,A206650,20200811,11
179,a1,A206650,20201013,12
180,a1,A214330,20200904,15
181,a1,A215380,20200820,3
182,a1,A215380,20201222,3
183,a1,A217270,20200722,2
184,a1,A217270,20201211,4
185,a1,A217730,20200330,28
186,a1,A217730,20200611,4
187,a2,A100700,20201203,13
188,a2,A122630,20200604,5
189,a2,A122630,20200831,1
190,a2,A123040,20200123,1
191,a2,A143540,20190403,3
192,a2,A143540,20190430,20
193,a2,A178320,20200103,1
194,a2,A178320,20200109,2
195,a2,A187790,20190116,3
196,a2,A187790,20190208,5
197,a2,A187790,20190220,2
198,a2,A200230,20180416,2
199,a2,A200230,20180419,1
200,a2,A200230,20180430,265
201,a2,A208340,20190208,18
202,a2,A215600,20180416,107
203,a2,A215600,20181204,2
204,a2,A215600,20190719,12
205,a2,A217620,20200310,1
206,a2,A230360,20200211,2
207,a2,A233160,20181116,3
208,a2,A233160,20181213,7
209,a2,A233160,20190110,1
210,a2,A233740,20200324,1
211,a2,A233740,20200824,2
212,a2,A233740,20200911,3
213,a2,A233740,20201105,1
214,a2,A233740,20201112,2
215,a2,A233740,20201123,2
216,a2,A233740,20201127,1
217,a2,A234340,20200330,1
218,a2,A250780,20180620,7
219,a2,A250780,20181010,2
220,a2,A251340,20181112,1
221,a2,A251340,20181207,1
222,a2,A251340,20190509,1
223,a2,A251340,20200106,1
224,a2,A251340,20200529,2
225,a2,A251340,20200917,1
226,a2,A251340,20201106,1
227,a2,A252670,20190516,1
228,a2,A252670,20190708,1
229,a2,A252670,20191121,3
230,a2,A252670,20200122,1
231,a2,A252670,20200203,1
232,a2,A252670,20200319,2
233,a2,A252670,20200325,1
234,a2,A252670,20200611,1
235,a2,A252670,20200615,7
236,a2,A252670,20200818,1
237,a2,A252670,20200821,1
238,a2,A252670,20200924,1
239,a2,A252670,20201020,1
240,a2,A252670,20201102,2
241,a2,A252670,20201125,2
242,a2,A252670,20201222,1
243,a2,A252710,20190509,1
244,a2,A253230,20181025,1
245,a2,A301410,20181030,2
246,a2,A301410,20181115,1
247,a2,A336370,20200313,1
248,a2,A336370,20200317,1
249,a2,A100700,20201224,1
250,a2,A004710,20200103,1
251,a2,A010400,20200120,1
252,a2,A011000,20200319,4
253,a2,A016590,20200123,1
254,a2,A018250,20200113,5
255,a2,A027710,20190528,1
256,a2,A033250,20190529,1
257,a2,A035510,20200204,7
258,a2,A035720,20190116,4
259,a2,A036000,20180416,5
260,a2,A041510,20190118,17
261,a2,A041510,20190603,6
262,a2,A049550,20190403,24
263,a2,A049550,20190517,35
264,a2,A049550,20190710,5
265,a2,A049550,20190724,58
266,a2,A049550,20191030,7
267,a2,A049550,20191112,3
268,a2,A049550,20191126,25
269,a2,A049550,20200217,16
270,a2,A049550,20201223,2
271,a2,A052860,20190515,1
272,a2,A052860,20190522,6
273,a2,A061970,20181109,27
274,a2,A063170,20190307,206
275,a2,A064550,20200128,3
276,a2,A068930,20190222,37
277,a2,A068930,20190418,1
278,a2,A068930,20190425,5
279,a2,A068930,20190513,2
280,a2,A071280,20181017,5
281,a2,A071280,20181212,25
282,a2,A078070,20190507,6
283,a2,A078070,20190523,1
284,a2,A078600,20190125,7
