date	open	high	low	close	volume	code
2019-07-26	46650	47150	46550	47150	7873886	a005930
2019-07-25	47150	47200	46600	47200	8408838	a005930
2019-07-24	47100	47150	46250	46400	8756522	a005930
2019-07-23	47350	47550	47050	47300	9061381	a005930
2019-07-22	46800	47300	46600	47200	9009109	a005930
2019-07-19	46650	46950	46600	46800	8819393	a005930
2019-07-18	46450	46450	45650	46100	5143554	a005930
2019-07-17	46150	46350	45950	46050	5216602	a005930
2019-07-16	46450	46850	46300	46850	7407824	a005930
2019-07-15	45950	46650	45750	46450	4717226	a005930
2019-07-12	46350	46400	45800	46300	5245804	a005930
2019-07-11	46350	46550	46150	46200	10989751	a005930
2019-07-10	45550	46150	45500	45550	9253930	a005930
2019-07-09	44850	45450	44700	45100	7646421	a005930
2019-07-08	44750	44800	44350	44400	7823843	a005930
2019-07-05	45950	45950	45250	45650	7235395	a005930
2019-07-04	45250	46200	45250	46000	6365573	a005930
2019-07-03	45750	46350	45200	45400	9669368	a005930
2019-07-02	46200	46900	45850	46250	8463073	a005930
2019-07-01	47350	47400	46250	46600	11383522	a005930
2019-06-28	47000	47000	46700	47000	12949231	a005930
2019-06-27	46000	46600	45750	46500	12603534	a005930
2019-06-26	45800	46000	45600	45700	9226097	a005930
2019-06-25	45200	45800	45200	45600	7076774	a005930
2019-06-24	45200	45800	45200	45500	6085066	a005930
2019-06-21	45750	45800	45200	45700	9454913	a005930
2019-06-20	44850	45500	44850	45500	7147785	a005930
2019-06-19	45450	45450	45000	45350	10417690	a005930
2019-06-18	43750	44500	43650	44350	7994928	a005930
2019-06-17	43750	44050	43400	43900	11890424	a005930
2019-06-14	43750	44150	43300	44000	9322873	a005930
2019-06-13	44200	44400	43400	43750	16906541	a005930
2019-06-12	44800	45050	44300	44600	8607439	a005930
2019-06-11	44800	45000	44550	44850	6664872	a005930
2019-06-10	44300	44850	44050	44800	8792182	a005930
2019-06-07	43600	44350	43450	44200	11683682	a005930
2019-06-05	44050	44200	43700	43900	12464135	a005930
2019-06-04	43400	43700	43000	43450	9913497	a005930
2019-06-03	42950	43900	42500	43800	15466580	a005930
2019-05-31	42600	42800	42150	42500	11365999	a005930
2019-05-30	42200	42700	42150	42550	11766018	a005930
2019-05-29	41850	42100	41300	41800	14930618	a005930
2019-05-28	42550	42950	42150	42550	24506881	a005930
2019-05-27	42500	43000	42350	42650	8066669	a005930
2019-05-24	43800	43800	42400	42700	13966305	a005930
2019-05-23	43900	44000	43250	43850	12259006	a005930
2019-05-22	43700	43800	42400	43500	11033339	a005930
2019-05-21	42600	43950	42350	43150	18812133	a005930
2019-05-20	41650	42100	41550	42000	15752397	a005930
2019-05-17	41950	42050	40850	41200	13357951	a005930
2019-05-16	42350	42400	41350	41550	13687828	a005930
2019-05-15	42700	43050	42550	42550	7670185	a005930
2019-05-14	41300	43100	41300	42650	11563730	a005930
2019-05-13	42500	43200	42350	42650	7635079	a005930
2019-05-10	42600	43450	42450	42900	14579512	a005930
2019-05-09	43900	44250	42450	42450	23029718	a005930
2019-05-08	44300	44850	44200	44250	10398754	a005930
2019-05-07	45250	45300	44400	44850	12014907	a005930
2019-05-03	45900	46050	45300	45300	6562916	a005930
2019-05-02	45500	46150	45400	45900	8625126	a005930
2019-04-30	46000	46300	45350	45850	11121273	a005930
2019-04-29	45150	46150	45100	46150	8777517	a005930
2019-04-26	44200	45000	43800	44850	9739982	a005930
2019-04-25	44250	45000	44100	44650	10868965	a005930
2019-04-24	45400	45650	44150	44750	13299267	a005930
2019-04-23	45050	45500	45000	45200	6920566	a005930
2019-04-22	45400	45900	45100	45350	6006957	a005930
2019-04-19	45750	46000	45250	45300	8479710	a005930
2019-04-18	47200	47250	45500	45600	12808747	a005930
2019-04-17	47300	47600	47000	47050	5513658	a005930
2019-04-16	47400	47400	46800	47250	7730881	a005930
2019-04-15	47150	47500	47000	47050	8733019	a005930
2019-04-12	46050	46900	46000	46850	7668936	a005930
2019-04-11	46700	46800	46150	46250	13697399	a005930
2019-04-10	46400	46700	46050	46700	11883995	a005930
2019-04-09	46700	46950	46200	46650	6878761	a005930
2019-04-08	47250	47250	46150	46650	8507909	a005930
2019-04-05	46950	47550	46600	46850	8546339	a005930
2019-04-04	46150	47100	46150	46950	12650168	a005930
2019-04-03	46750	46750	45800	46600	12436570	a005930
2019-04-02	45550	46100	45350	45750	9480688	a005930
2019-04-01	45200	45450	44850	45050	7362129	a005930
2019-03-29	44500	44900	44200	44650	11491713	a005930
2019-03-28	44950	45200	44300	44850	6821306	a005930
2019-03-27	44750	45600	44250	45350	9568081	a005930
2019-03-26	45500	45700	44900	45250	9729811	a005930
2019-03-25	45300	45650	44800	45500	8699728	a005930
2019-03-22	46850	47000	46250	46550	12535911	a005930
2019-03-21	44600	46250	44050	45850	21138016	a005930
2019-03-20	43800	44200	43100	44050	9846242	a005930
2019-03-19	43750	43900	43550	43900	7609563	a005930
2019-03-18	43950	44150	43450	43700	8188876	a005930
2019-03-15	43800	44250	43700	44200	16814163	a005930
2019-03-14	43700	44300	43550	43850	18039161	a005930
2019-03-13	44250	44450	43700	43850	8108343	a005930
2019-03-12	44300	44950	44150	44650	11431977	a005930
2019-03-11	44400	44450	43650	43650	10717408	a005930
2019-03-08	44450	44800	43800	43800	7729069	a005930
2019-03-07	43400	44950	43400	44450	11049749	a005930
2019-03-06	44000	44300	43700	44000	10202544	a005930
2019-03-05	44600	45100	44150	44250	10612405	a005930
2019-03-04	46000	46100	44800	44850	12926539	a005930
2019-02-28	46400	46500	45100	45100	23569321	a005930
2019-02-27	47000	47250	46750	46750	8045211	a005930
2019-02-26	47350	47450	46500	46750	7985547	a005930
2019-02-25	47400	47550	47050	47350	7484716	a005930
2019-02-22	46500	47150	46450	47150	6895772	a005930
2019-02-21	46500	47200	46200	46950	8694009	a005930
2019-02-20	46750	47100	46500	46900	11506720	a005930
2019-02-19	45850	46150	45450	45950	6741395	a005930
2019-02-18	46500	46850	45850	46200	8183728	a005930
2019-02-15	46750	46850	45650	46050	10554643	a005930
2019-02-14	46600	47500	46150	47500	17259341	a005930
2019-02-13	46400	46700	46000	46200	11299738	a005930
2019-02-12	44650	46250	44650	46050	13184367	a005930
2019-02-11	44500	45000	44250	45000	11125044	a005930
2019-02-08	45700	45700	44650	44800	12689196	a005930
2019-02-07	46800	47100	46200	46200	15872001	a005930
2019-02-01	46650	46950	46250	46350	13832454	a005930
2019-01-31	46650	47050	46150	46150	21621145	a005930
2019-01-30	44800	46400	44800	46400	17505980	a005930
2019-01-29	45050	45500	44350	45500	16215017	a005930
2019-01-28	45000	45500	44600	45050	17998914	a005930
2019-01-25	44300	44750	43750	44750	22789395	a005930
2019-01-24	43050	43100	42350	43050	14747623	a005930
2019-01-23	41350	42250	41350	42000	11071079	a005930
2019-01-22	42750	42850	41850	42150	9964356	a005930
2019-01-21	42700	42750	41900	42750	11355701	a005930
2019-01-18	42000	42400	41950	42300	11029256	a005930
2019-01-17	41700	42100	41450	41950	11736903	a005930
2019-01-16	41150	41450	40700	41450	8491595	a005930
2019-01-15	40050	41100	39850	41100	11492756	a005930
2019-01-14	40450	40700	39850	40050	11984996	a005930
2019-01-11	40350	40550	39950	40500	11661063	a005930
2019-01-10	40000	40150	39600	39800	14731699	a005930
2019-01-09	38650	39600	38300	39600	17452708	a005930
2019-01-08	38000	39200	37950	38100	12756554	a005930
2019-01-07	38000	38900	37800	38750	12748997	a005930
2019-01-04	37450	37600	36850	37450	14108958	a005930
2019-01-03	38300	38550	37450	37600	12471493	a005930
2019-01-02	39400	39400	38550	38750	7847664	a005930
2018-12-28	38250	38900	38200	38700	9900267	a005930
2018-12-27	38700	38800	38100	38250	10510643	a005930
2018-12-26	38400	38750	38300	38350	12707675	a005930
2018-12-24	38500	39050	38300	38800	9729530	a005930
2018-12-21	38200	38650	38100	38650	14947080	a005930
2018-12-20	38600	39100	38500	38650	11937617	a005930
2018-12-19	38900	39350	38850	39100	9942037	a005930
2018-12-18	38300	39200	38300	38900	11042101	a005930
2018-12-17	38650	39600	38650	39150	11532968	a005930
2018-12-14	40200	40200	38700	38950	19671783	a005930
2018-12-13	40650	40750	40000	40000	26254646	a005930
2018-12-12	40250	40700	40150	40450	12024279	a005930
2018-12-11	40600	40700	40200	40250	10638766	a005930
2018-12-10	40450	40650	40000	40200	14892263	a005930
2018-12-07	40900	41400	40850	40950	11433083	a005930
2018-12-06	40600	41100	40450	40500	14251826	a005930
2018-12-05	40900	41750	40850	41450	12631983	a005930
2018-12-04	42650	42900	41900	42150	14347746	a005930
2018-12-03	42750	43400	42400	43250	12110702	a005930
2018-11-30	43450	44000	41750	41850	19775519	a005930
2018-11-29	43850	43850	42900	43150	8473511	a005930
2018-11-28	42800	43200	42750	43150	6943099	a005930
2018-11-27	42900	43100	42500	43050	8367091	a005930
2018-11-26	42150	42800	42100	42600	6613009	a005930
2018-11-23	42450	42600	41900	42400	5192638	a005930
2018-11-22	42000	42650	42000	42450	5970796	a005930
2018-11-21	41800	42300	41800	42100	10769589	a005930
2018-11-20	42450	43000	42100	42800	9420664	a005930
2018-11-19	44050	44250	43450	43650	7538720	a005930
2018-11-16	44600	44750	43700	44000	7777124	a005930
2018-11-15	44050	44350	43500	44250	5864067	a005930
2018-11-14	44500	44500	43800	44100	6783344	a005930
2018-11-13	43900	44500	43400	44500	9311126	a005930
2018-11-12	43850	45250	43700	45200	8552566	a005930
2018-11-09	44450	44850	43900	44300	7318500	a005930
2018-11-08	44900	45050	44050	44050	12617397	a005930
2018-11-07	43600	44500	43400	44000	11553998	a005930
2018-11-06	43750	43800	42950	43750	7713625	a005930
2018-11-05	43750	43800	42900	43800	9426777	a005930
2018-11-02	43050	44250	42800	44150	16517112	a005930
2018-11-01	42450	42950	42150	42150	13423132	a005930
2018-10-31	42900	43350	41700	42400	17621480	a005930
2018-10-30	41400	43000	41000	42350	14205190	a005930
2018-10-29	40850	41950	40550	41400	14460521	a005930
2018-10-26	41100	41300	40400	41000	14413864	a005930
2018-10-25	40600	41550	40550	41000	19338170	a005930
2018-10-24	43050	43100	42250	42550	13522825	a005930
2018-10-23	43300	43450	42550	43050	9531231	a005930
2018-10-22	43450	43950	43200	43550	8357648	a005930
2018-10-19	43900	44150	43450	43900	7842520	a005930
2018-10-18	43950	44450	43700	44050	8347725	a005930
2018-10-17	44150	44500	44000	44150	8306193	a005930
2018-10-16	43700	44150	43350	43600	6825677	a005930
2018-10-15	44050	44050	43350	43800	7434522	a005930
2018-10-12	43200	44650	43200	44000	12640906	a005930
2018-10-11	44000	44650	43100	43100	19324537	a005930
2018-10-10	45250	45500	44500	45300	10341349	a005930
2018-10-08	44200	45200	44200	44950	6759464	a005930
2018-10-05	44800	45500	44550	44700	10544165	a005930
2018-10-04	45150	45600	44700	44700	11865327	a005930
2018-10-02	46450	46700	45700	45700	6607188	a005930
2018-10-01	46450	46800	45800	46350	6354983	a005930
2018-09-28	47250	47250	46300	46450	11270515	a005930
2018-09-27	46950	47500	46450	47500	15804586	a005930
2018-09-21	46550	47550	46550	47400	14476906	a005930
2018-09-20	46850	47600	46400	47250	13536966	a005930
2018-09-19	46000	46200	45700	46150	9367454	a005930
2018-09-18	44950	45900	44700	45500	9987090	a005930
2018-09-17	45550	45800	44900	45150	8123384	a005930
2018-09-14	45000	45850	44900	45850	12446344	a005930
2018-09-13	44550	44750	44000	44050	18277942	a005930
2018-09-12	44900	45100	44500	44550	12995269	a005930
2018-09-11	45550	45900	45050	45050	9865790	a005930
2018-09-10	45450	45550	45000	45500	9979838	a005930
2018-09-07	44500	45200	44400	44900	18285508	a005930
2018-09-06	46200	46400	45800	46100	9040553	a005930
2018-09-05	47300	47450	46400	46600	9139998	a005930
2018-09-04	47550	47800	47200	47650	6791255	a005930
